radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,302,220,65534,139052802,0,-79.47549475,44.0232815,5371,4,1,1410664945,1410665187,
LTE,302,220,65534,138369794,0,-79.4677416667,44.0419563333,996,3,1,1410664972,1410665187,
UMTS,302,220,45000,230278441,238,-79.4815663167,44.0498483667,1949,120,1,1411095804,1414858205,
UMTS,302,220,45000,230268116,33,-79.3177817742,43.9944281613,1609,62,1,1411160232,1411160257,
UMTS,302,220,45000,230272205,50,-79.4431633704,44.0438196667,346,27,1,1411160239,1411160257,
UMTS,302,220,45000,230293223,50,-79.4372484286,44.0449554286,977,14,1,1411160239,1411160257,
UMTS,302,220,45000,230282205,50,-79.43876,44.0448862,45,5,1,1411160241,1411160354,
UMTS,302,220,45000,230293170,52,-79.422152,44.04710775,491,4,1,1411160241,1411160354,
UMTS,302,220,45000,230293222,49,-79.4217522059,44.0483095882,550,34,1,1411160241,1411160257,
UMTS,302,220,45000,230293182,40,-79.4082064583,44.0195422083,853,24,1,1411160241,1411160257,
UMTS,302,220,45000,230276762,85,-79.4096247059,44.0265646471,273,17,1,1411160241,1411160257,
UMTS,302,220,45000,230283198,41,-79.4054524545,44.0081562273,642,22,1,1411160241,1411160257,
UMTS,302,220,45000,230293291,41,-79.4006148571,44.0010634286,213,7,1,1411160241,1411160354,
UMTS,302,220,45000,230276100,453,-79.3948313636,43.9882899091,1339,22,1,1411160241,1411160257,
UMTS,302,220,45000,230293500,381,-79.4559174091,44.0433882273,4851,22,1,1411505219,1417321617,
UMTS,302,220,45000,230283187,381,-79.464486,44.038403,0,1,1,1411505219,1411505415,
UMTS,302,220,45000,230280886,155,-79.4568829167,44.058382,584,12,1,1411694526,1415319889,
UMTS,302,220,45000,230280584,155,-79.4637439545,44.0585647727,2511,22,1,1411694526,1414723482,
UMTS,302,220,45000,230278436,155,-79.4570844286,44.059887,1837,7,1,1411694526,1414856842,
